group,file_name,reference_text,predicted_text,WER,CER,Accuracy (%)
0011,0011_000923.txt,"Pick, pick, pick!","Pick, pick, pick.",0.333,0.059,66.67
0011,0011_000937.txt,What would they do the end of the year?,What would they do at the end of the year?,0.111,0.077,88.89
0011,0011_000738.txt,"Hold up my chin, slow and solid.","Hold out my chin, slow when solid.",0.286,0.188,71.43
0011,0011_000704.txt,They went up to the dark mass job had pointed out.,They went up to the dark mass Job had pointed out.,0.0,0.0,100.0
0011,0011_000710.txt,A nauseous draught.,A nauseous draft.,0.333,0.158,66.67
0011,0011_000711.txt,Chapter ten a warm welcome.,Chapter 10. A Warm Welcome.,0.2,0.111,80.0
0011,0011_000705.txt,Clear than clear water!,"Clear, then clear water.",0.75,0.13,25.0
0011,0011_000739.txt,Our thanks to God's oath.,Our thanks to God's oath.,0.0,0.0,100.0
0011,0011_000936.txt,How rash you!,How rash are you?,0.667,0.385,33.33
0011,0011_000922.txt,Ask god to help you.,Ask God to help you.,0.0,0.0,100.0
0011,0011_000881.txt,"First, issue a reward.",First issue a reward,0.5,0.091,50.0
0011,0011_000895.txt,A boat put out-on the bay.,A boat put out on the bay.,0.333,0.038,66.67
0011,0011_000842.txt,Wake now my merry tads!,Wake now my maritads!,0.4,0.174,60.0
0011,0011_000856.txt,The eye could not catch them.,The eye could not catch them.,0.0,0.0,100.0
0011,0011_001023.txt,Who I did wake up!,Why did I wake up?,0.8,0.333,20.0
0011,0011_001037.txt,But mom I'm not certain about.,"But mom, I'm not certain about...",0.333,0.1,66.67
0011,0011_001033.txt,You gain for nothing girl!,"You game for nothing, girl.",0.6,0.154,40.0
0011,0011_001027.txt,It's part of my secret.,It's part of my secret.,0.0,0.0,100.0
0011,0011_000852.txt,Guilty for what do you rule?,Guilty for what do you rule?,0.0,0.0,100.0
0011,0011_000846.txt,"He said to Jack, the chatterer.",He says Jack the chatterer.,0.5,0.194,50.0
0011,0011_000891.txt,I make her quite nervy at times.,I make her quite nervy at times.,0.0,0.0,100.0
0011,0011_000885.txt,The new born baby is stolen as we go.,The newborn baby is stolen as we go.,0.222,0.027,77.78
0011,0011_000926.txt,And the next day. Nurse will be released.,"And the next day, nurse will be released.",0.125,0.024,87.5
0011,0011_000932.txt,"Will call her Lili, be short.","We'll call her Lily, for short.",0.5,0.207,50.0
0011,0011_000701.txt,"The nine the eggs, I keep.","The nine, the eggs I keep.",0.333,0.077,66.67
0011,0011_000715.txt,Poor Tom now is dead!,"Poor Tom, now is dead.",0.4,0.095,60.0
0011,0011_000729.txt,Rat came and replied on the leaves.,Rat came and replied on the leaves.,0.0,0.0,100.0
0011,0011_000728.txt,"She had said, so that no one could keep up a conversation!",She had said so that no one could keep up the conversation.,0.25,0.086,75.0
0011,0011_000714.txt,Annie please please don't hurt me!,"Annie, please, please don't hurt me.",0.5,0.088,50.0
0011,0011_000933.txt,Why should i care though David's lips were twitching?,Why should I care though? David's lips were twitchin',0.222,0.057,77.78
0011,0011_000927.txt,"Born once every one hundred years, dies in flames!","Born once every 100 years, dies in flames.",0.333,0.24,66.67
0011,0011_000884.txt,"We have been fine, haven't we?","We have been fine, haven't we?",0.0,0.0,100.0
0011,0011_000890.txt,And they were sandy yellow brownish all over.,and they were sandy yellow-brownish all over.,0.25,0.022,75.0
0011,0011_000847.txt,And there you'll find a snap dragon fly.,And there you'll find a Snapdragon Fly.,0.25,0.025,75.0
0011,0011_000853.txt,But we are not high yet.,But we are not high yet.,0.0,0.0,100.0
0011,0011_001026.txt,They are made of wood.,They are made of wood!,0.2,0.045,80.0
0011,0011_001032.txt,where are you going?,Where are you going?,0.0,0.0,100.0
0011,0011_001018.txt,The name of the song is called haddocks.,The name of the song is called Haddix.,0.125,0.1,87.5
0011,0011_001024.txt,And she caught at the brooch.,and she caught at the brooch.,0.0,0.0,100.0
0011,0011_001030.txt,She keeps saying I'm hers.,She keeps saying I'm hers.,0.0,0.0,100.0
0011,0011_000879.txt,Daisy creams with pink edges.,Daisy creams with pink edges.,0.0,0.0,100.0
0011,0011_000845.txt,Reed by the living pool!,Read by the Living Pool.,0.4,0.083,60.0
0011,0011_000851.txt,All the way to China is home.,All the way to China is home.,0.0,0.0,100.0
0011,0011_000886.txt,She jump at the tail and bite it savagely.,She jump at the tail and bite it savagely,0.111,0.024,88.89
0011,0011_000892.txt,I have had to grow old.,I've had to grow old.,0.333,0.13,66.67
0011,0011_000919.txt,But the tune isn't his own invention.,But the tune isn't his own invention.,0.0,0.0,100.0
0011,0011_000931.txt,He told me that I ought to change.,He told me that I oughta change.,0.25,0.088,75.0
0011,0011_000925.txt,Her existence makes him pleasant.,Her existence makes him pleasant.,0.0,0.0,100.0
0011,0011_000716.txt,"Mister share man, I move for a division.","Mr. Chairman, I move for division.",0.5,0.275,50.0
0011,0011_000702.txt,"I did go, and made many prisoners.",I did go and made many prisoners.,0.143,0.029,85.71
0011,0011_000703.txt,That I owe my thanks to you.,That I owe my thanks to you.,0.0,0.0,100.0
0011,0011_000717.txt,Why has this egg not broken?,Why has this egg not broken?,0.0,0.0,100.0
0011,0011_000924.txt,Do you know the lid opens?,Do you know the lid opens?,0.0,0.0,100.0
0011,0011_000930.txt,Your own wife is not at home.,Your own wife is not at home.,0.0,0.0,100.0
0011,0011_000918.txt,I'll send for Tom to my boudoir.,I'll send Tom to my boudoir.,0.143,0.125,85.71
0011,0011_000893.txt,Please hire me after you.,Please hire me after you.,0.0,0.0,100.0
0011,0011_000887.txt,An hour out of Guildford town.,An hour out of Guilfordtown!,0.333,0.1,66.67
0011,0011_000850.txt,I hope you enjoyed yourself?,I hope you enjoyed yourself.,0.2,0.036,80.0
0011,0011_000844.txt,We all see panda on TV or in the zoo.,We all see Panda on TV or in the zoo.,0.0,0.0,100.0
0011,0011_000878.txt,And vowed he'd change the pigtail's place.,and vowed he'd change the pigtail's place.,0.0,0.0,100.0
0011,0011_001031.txt,She'll be feverish after so much thinking.,She'll be feverish after so much thinking.,0.0,0.0,100.0
0011,0011_001025.txt,She has no place for hot peper .,She has no place for hot pepper.,0.25,0.062,75.0
0011,0011_001019.txt,How could I dig burrows with short toe nails?,How could I dig burrows with short toenails?,0.222,0.022,77.78
0011,0011_001042.txt,Why should I purchase my own?,Why should I purchase my own?,0.0,0.0,100.0
0011,0011_000823.txt,I am from towel land.,I am from Tao Land.,0.2,0.19,80.0
0011,0011_000837.txt,Let the glass globe be.,Let the glass globe be.,0.0,0.0,100.0
0011,0011_000957.txt,I would scoff at these followers.,How would scoff at those followers?,0.5,0.152,50.0
0011,0011_000943.txt,And has you slain him?,And has you slain him?,0.0,0.0,100.0
0011,0011_000994.txt,Now I understand.,Now I understand.,0.0,0.0,100.0
0011,0011_000758.txt,The octopus has eight legs.,The octopus has eight legs.,0.0,0.0,100.0
0011,0011_000980.txt,Your path now goes south.,Your path now goes south.,0.0,0.0,100.0
0011,0011_000770.txt,Tom now let our arrows fly!,Tom now let our arrows fly!,0.0,0.0,100.0
0011,0011_000764.txt,And we are so thirsty!,And we are so thirsty.,0.2,0.045,80.0
0011,0011_000765.txt,Tom could hardly speak for laughing.,Tom could hardly speak for laughing.,0.0,0.0,100.0
0011,0011_000771.txt,She was born on april nineteen forty three.,She was born on April 1943.,0.375,0.465,62.5
0011,0011_000981.txt,He could not help doing so.,He could not help doing so.,0.0,0.0,100.0
0011,0011_000759.txt,Zero four three a silver shilling is journey.,"043, a silver shilling is journey.",0.375,0.333,62.5
0011,0011_000995.txt,I know how to obey orders.,I know how to obey orders.,0.0,0.0,100.0
0011,0011_000942.txt,Give me your hand or I will cry harder than before.,Give me your hand or I will cry harder than before,0.091,0.02,90.91
0011,0011_000956.txt,I must have two to fetch and carry.,I must have had two to fetch and carry.,0.125,0.114,87.5
0011,0011_000836.txt,She has eaten the tapioca all of it.,She has eaten the tapioca all of it,0.125,0.028,87.5
0011,0011_000822.txt,Am I an absolute pauper?,Am I an absolute pauper?,0.0,0.0,100.0
0011,0011_001043.txt,And what does it mean?,And what does it mean?,0.0,0.0,100.0
0011,0011_001041.txt,"Enough,you a foolish chatter.",Enough! You're a foolish chatter!,0.75,0.207,25.0
0011,0011_000834.txt,Rare rabbit had a little apron.,Rare Rabbit had a little apron.,0.0,0.0,100.0
0011,0011_000820.txt,Our King George is labourers.,Our King George's laborers.,0.6,0.103,40.0
0011,0011_000808.txt,The squire himself showed perfect.,The squire himself showed perfect.,0.0,0.0,100.0
0011,0011_000940.txt,Both sides were softly curved.,Both sides were softly curved.,0.0,0.0,100.0
0011,0011_000798.txt,Said the witch.,Said the witch.,0.0,0.0,100.0
0011,0011_000954.txt,She laughed.,She laughed.,0.0,0.0,100.0
0011,0011_000968.txt,He showed no signs of age.,He showed no signs of age.,0.0,0.0,100.0
0011,0011_000983.txt,They had been named Tom and Jerry.,There had been named Tom and Jerry.,0.143,0.059,85.71
0011,0011_000997.txt,How Tom and Jerry went to visit mister Sam.,How Tom and Jerry went to visit Mr. Sam.,0.111,0.116,88.89
0011,0011_000767.txt,"I suppose no, it doesn't!","I suppose no, it doesn't.",0.2,0.04,80.0
0011,0011_000773.txt,how suspicious this fox.,How suspicious this fox?,0.25,0.042,75.0
0011,0011_000772.txt,"How are you, dear child?","How are you, dear child?",0.0,0.0,100.0
0011,0011_000766.txt,Shall we let barbara in?,Shall we let Barbara in?,0.0,0.0,100.0
0011,0011_000996.txt,You woke me up!,You woke me up!,0.0,0.0,100.0
0011,0011_000982.txt,Alice I won't forget it again.,"Alice, I won't forget it again.",0.167,0.033,83.33
0011,0011_000969.txt,But show me now your map!,But show me now your map!,0.0,0.0,100.0
0011,0011_000955.txt,"This was the twenty fifth of november, seventeen eighty three.",This was the 25th of November 1783.,0.6,0.532,40.0
0011,0011_000799.txt,I've hit the wrong nose.,I've hit the wrong nose.,0.0,0.0,100.0
0011,0011_000941.txt,We have showed his shark tooth.,We have showed his shark tooth.,0.0,0.0,100.0
0011,0011_000809.txt,If they mother knew it.,if their mother knew it.,0.2,0.087,80.0
0011,0011_000821.txt,Finn and the fairy shoemaker.,Finn and the Fairy Shoemaker.,0.0,0.0,100.0
0011,0011_000835.txt,I blinked my eyes hard.,I blinked my eyes hard.,0.0,0.0,100.0
0011,0011_001040.txt,So Tom saw night as it were broad daylight.,So Tom saw night as it were broad daylight.,0.0,0.0,100.0
0011,0011_001050.txt,Do you have anything in mind?,Do you have anything in mind?,0.0,0.0,100.0
0011,0011_001044.txt,"Lucy, a clever farmer.","Lucy, a clever farmer.",0.0,0.0,100.0
0011,0011_000819.txt,The owl flew into a bush.,The owl flew into a bush.,0.0,0.0,100.0
0011,0011_000831.txt,It must come sometimes to jam a day.,It must come sometimes to jam a day.,0.0,0.0,100.0
0011,0011_000825.txt,To catch that bulrush root with my paw!,To catch that bullrush root with my paw.,0.25,0.051,75.0
0011,0011_000979.txt,These words behind the ears is nonsense.,These words behind the ears is nonsense.,0.0,0.0,100.0
0011,0011_000945.txt,Do you think it's a woozle?,Do you think it's a woozle?,0.0,0.0,100.0
0011,0011_000951.txt,The ladybug told them proudly.,The ladybug told them proudly.,0.0,0.0,100.0
0011,0011_000789.txt,Let go of my top knot.,Let go of my top knot!,0.167,0.045,83.33
0011,0011_000762.txt,"Tom, went on eeyore gloomily.",Tom went on E or Glimly.,0.8,0.241,20.0
0011,0011_000776.txt,The hag looked in the stove.,The hag looked in the stove.,0.0,0.0,100.0
0011,0011_000986.txt,"One two three, where is your breakfast.","One, two, three, where is your breakfast?",0.429,0.077,57.14
0011,0011_000992.txt,She has a high voice.,She has a high voice.,0.0,0.0,100.0
0011,0011_000993.txt,He is old fashioned but he is the best men.,"He is old-fashioned, but he is the best of men.",0.3,0.116,70.0
0011,0011_000987.txt,A voice said: Come in.,"A voice said, Come in!",0.4,0.091,60.0
0011,0011_000777.txt,But I saw you walking.,But I saw you walk in.,0.4,0.091,60.0
0011,0011_000763.txt,Asteroid three hundred and twenty five.,Asteroid 325.,0.833,0.744,16.67
0011,0011_000788.txt,In my opinion that is a good idea!,"In my opinion, that is a good idea.",0.25,0.059,75.0
0011,0011_000950.txt,Her kind and firm glance.,Her kind and firm glance.,0.0,0.0,100.0
0011,0011_000944.txt,Off for the prison ship.,off for the prison ship.,0.0,0.0,100.0
0011,0011_000978.txt,I know you .,I know you!,0.5,0.167,50.0
0011,0011_000824.txt,"You know, answers to the name of Tom's son.","You know, answers to the name of Tom's son?",0.111,0.023,88.89
0011,0011_000830.txt,And would spoil my joke.,and would spoil my joke.,0.0,0.0,100.0
0011,0011_000818.txt,Look out! said Alice.,Look out! said Alice.,0.0,0.0,100.0
0011,0011_001045.txt,A whirring noise was heard.,A wearing noise was heard.,0.2,0.111,80.0
0011,0011_001047.txt,What are you waiting for? man.,"What are you waiting for, man?",0.333,0.067,66.67
0011,0011_000826.txt,this turn goes to the hill.,This turn goes to the heel.,0.167,0.074,83.33
0011,0011_000832.txt,I thank you for this mercy!,I thank you for this mercy.,0.167,0.037,83.33
0011,0011_000952.txt,I am run off my feet.,I am run off my feet.,0.0,0.0,100.0
0011,0011_000946.txt,We can not do it sir.,"We cannot do it, sir.",0.5,0.095,50.0
0011,0011_000775.txt,I'd far rather go without them than eat them!,I'd far rather go without them than eat them.,0.111,0.022,88.89
0011,0011_000761.txt,"Midyear is day, shire year.","Mid year is day, shower year.",0.6,0.148,40.0
0011,0011_000749.txt,Then we all say aha!,Then we all say aha.,0.2,0.05,80.0
0011,0011_000991.txt,The end of february fourteenth.,The end of February 14th.,0.2,0.258,80.0
0011,0011_000985.txt,"The straw, charcoal and the pea.","The straw, charcoal and the pee.",0.167,0.031,83.33
0011,0011_000984.txt,"Chapter eighteen, the return journey.",Chapter 18 The Return Journey,0.4,0.27,60.0
0011,0011_000990.txt,There goes the shawl again!,There goes the shawl again.,0.2,0.037,80.0
0011,0011_000748.txt,"You are not a runaway,who are you?",You are not a runaway. Who are you?,0.286,0.059,71.43
0011,0011_000760.txt,That I am a born nurse.,That I am a born nurse.,0.0,0.0,100.0
0011,0011_000774.txt,Come on my jack in the boxes!,"Come on, my Jack in the Boxes!",0.143,0.034,85.71
0011,0011_000947.txt,She and i are running a neck and neck race.,She and I run in a neck-and-neck race.,0.5,0.186,50.0
0011,0011_000953.txt,I have a soothsayer.,I have a soothsayer!,0.25,0.05,75.0
0011,0011_000833.txt,I smell the breath of an English.,I smell the breath of an English.,0.0,0.0,100.0
0011,0011_000827.txt,Cos I know I had some honey.,Cause I know I had some honey.,0.143,0.107,85.71
0011,0011_001046.txt,I am going to go back home.,I'm going to go back home.,0.286,0.074,71.43
0011,0011_000802.txt,"This is Jack, the relatives of Tom.","This is Jack, the relatives of Tom.",0.0,0.0,100.0
0011,0011_000816.txt,"No, I burst the balloon!","No, I burst the balloon!",0.0,0.0,100.0
0011,0011_000976.txt,Can your name be more hilarious?,Can your name be more hilarious?,0.0,0.0,100.0
0011,0011_000962.txt,I believe you are one of them!,I believe you are one of them!,0.0,0.0,100.0
0011,0011_000792.txt,Does the one that wins get the crowned?,Does the one that wins get the crown?,0.125,0.051,87.5
0011,0011_000786.txt,A tick a tack too.,A tick attacked two.,0.6,0.222,40.0
0011,0011_000779.txt,All my gum tips gone as well.,All my gum tips gone as well.,0.0,0.0,100.0
0011,0011_000751.txt,Said the American to the Chinese.,said the American to the Chinese.,0.0,0.0,100.0
0011,0011_000989.txt,"No, said piggy carelessly.",No! said Piglet carelessly.,0.5,0.154,50.0
0011,0011_000745.txt,The nastiest things they saw were the cobwebs.,The nastiest things they saw were the cobwebs.,0.0,0.0,100.0
0011,0011_000744.txt,Take courage all isn't lost yet.,"Take courage, all isn't lost yet.",0.167,0.031,83.33
0011,0011_000988.txt,She has felt shy of it.,She has felt shy of it.,0.0,0.0,100.0
0011,0011_000750.txt,Rabbit gave dog a hurrying up sort of nudge.,Rabbit gave Dog a hurrying up sort of a nudge.,0.111,0.045,88.89
0011,0011_000778.txt,The art quite safe with me.,The art is quite safe with me.,0.167,0.111,83.33
0011,0011_000787.txt,A hippo lives in the zoo.,A hippo lives in the zoo.,0.0,0.0,100.0
0011,0011_000793.txt,To buy two pork chops.,Dubai to pork chops.,0.6,0.273,40.0
0011,0011_000963.txt,She said in subdued voice.,"She said in subdued voice,",0.2,0.038,80.0
0011,0011_000977.txt,The end part is fish mouth.,The end part is fish math.,0.167,0.074,83.33
0011,0011_000817.txt,They were children of mine.,They were children of man.,0.2,0.074,80.0
0011,0011_000803.txt,The elephant and the carpenter is the longest.,The elephant and the carpenter is the longest.,0.0,0.0,100.0
0011,0011_001048.txt,"Dear customer,welcome to our ship.","Dear customer, welcome to our ship.",0.4,0.029,60.0
0011,0011_000815.txt,"He might call it, for example.","He might call it, for example,",0.167,0.033,83.33
0011,0011_000801.txt,"It's me piglit, help help!",It's me Piglet! Help Help!,0.2,0.077,80.0
0011,0011_000829.txt,A large flat ferry boat was moored beside it.,A large flat ferryboat was moored beside it.,0.222,0.022,77.78
0011,0011_000961.txt,After a while he perceived both giants.,After a while he perceived both giants.,0.0,0.0,100.0
0011,0011_000975.txt,You shouldn't have pricked him with your horn.,You shouldn't have pricked him with your horn.,0.0,0.0,100.0
0011,0011_000785.txt,Suppose I take grandmother a fresh vegetable.,Suppose I take grandmother a fresh vegetable.,0.0,0.0,100.0
0011,0011_000949.txt,You may imagine how I gape.,You may imagine how I gape.,0.0,0.0,100.0
0011,0011_000791.txt,We expected Tom would jump for joy.,We expected Tom would jump for joy!,0.143,0.029,85.71
0011,0011_000746.txt,They'd never know I'd regular ran away.,They'd never know I'd regular ran away.,0.0,0.0,100.0
0011,0011_000752.txt,"From August eighteenth, of their divorce.",from August 18th of their divorce.,0.167,0.22,83.33
0011,0011_000753.txt,He was still in the forest!,He was still in the forest!,0.0,0.0,100.0
0011,0011_000747.txt,please excuse me.,Please excuse me!,0.333,0.059,66.67
0011,0011_000790.txt,And they did push so!,And they did push so.,0.2,0.048,80.0
0011,0011_000948.txt,In which piglet meets a elephant.,In which Piglet meets an elephant.,0.167,0.03,83.33
0011,0011_000784.txt,By hook or by crook.,By hook or by crook.,0.0,0.0,100.0
0011,0011_000974.txt,Because he was a man with infinite resource and sagacity.,Because he was a man with infinite resource and sagacity.,0.0,0.0,100.0
0011,0011_000960.txt,"As soon she went in, there was disorder.","As soon as she went in, there was disorder.",0.125,0.075,87.5
0011,0011_000828.txt,Put that rude grasshopper in jail!,Put that rude grasshopper in jail.,0.167,0.029,83.33
0011,0011_000800.txt,"Well anyhow it didn't rain, he said.","Well, anyhow, it didn't rain,"" he said.",0.429,0.083,57.14
0011,0011_000814.txt,A half pounds of flour and two ounces suet.,A half-pound of flour and two ounces suet.,0.222,0.047,77.78
0011,0011_001049.txt,What do you think of this question?,What do you think of this question?,0.0,0.0,100.0
0011,0011_000838.txt,But one requires the explorer to furnish proofs.,But one requires the explorer to furnish proofs.,0.0,0.0,100.0
0011,0011_000810.txt,Act drop second act scene.,"Act drop, second act, scene.",0.4,0.077,60.0
0011,0011_000804.txt,Here i am whom you seek.,Here I am whom you seek.,0.0,0.0,100.0
0011,0011_000958.txt,"Mum shuts one's mouth up, doesn't it.","Mom shuts one's math up, doesn't it?",0.429,0.108,57.14
0011,0011_000780.txt,Then there was a report.,Then there was a report.,0.0,0.0,100.0
0011,0011_000794.txt,They found a cow grazing in a field.,They found a cow grazing in the field.,0.125,0.083,87.5
0011,0011_000964.txt,Slam the doors and wedge them!,Slam the doors and wedge them.,0.167,0.033,83.33
0011,0011_000970.txt,"Chew leaves quickly, said rabbit.","Chew leaves quickly, said Rabbit.",0.0,0.0,100.0
0011,0011_000743.txt,Story twenty nine a boy and a monkey.,"Story 29, A Boy and a Monkey.",0.25,0.297,75.0
0011,0011_000757.txt,Hannibal come see you.,Hannibal come to see you!,0.5,0.182,50.0
0011,0011_000756.txt,Your midget wife never can sing a song.,Your midget wife never can sing a song.,0.0,0.0,100.0
0011,0011_000742.txt,She may mind ye of her.,She may mind you of her.,0.167,0.087,83.33
0011,0011_000971.txt,I say I will be emperor.,I say I will be Emperor.,0.0,0.0,100.0
0011,0011_000965.txt,I've just shot a stag.,I've just shot a stag!,0.2,0.045,80.0
0011,0011_000795.txt,Aha what we have here?,Aha! What do we have here?,0.4,0.182,60.0
0011,0011_000781.txt,And I never had a whooping cough why.,And I never had a whooping cough. Why?,0.25,0.054,75.0
0011,0011_000959.txt,The song is called Ways and Means.,The song is called Ways and Means.,0.0,0.0,100.0
0011,0011_000805.txt,He was killed by an arrow.,He was killed by an arrow.,0.0,0.0,100.0
0011,0011_000811.txt,We nightly dance our heyday guise.,We not only dance out heyday guys.,0.667,0.235,33.33
0011,0011_000839.txt,Cuckoos is downheaded and cry.,Cuckoos is down headed and crying.,0.6,0.133,40.0
0011,0011_000807.txt,Tom and Michael woke up next morning.,Tom and Michael woke up the next morning.,0.143,0.108,85.71
0011,0011_000813.txt,Mister lawson saw george last night.,Mr. Lawson saw George last night.,0.167,0.139,83.33
0011,0011_000797.txt,Confess that you opened the thirteenth door.,Confess that you opened the thirteenth door.,0.0,0.0,100.0
0011,0011_000783.txt,Be off now as quick as you may!,Be off now as quick as you may!,0.0,0.0,100.0
0011,0011_000973.txt,I'd just as soon swim your way as others do.,I'd just as soon swim your way as others do.,0.0,0.0,100.0
0011,0011_000967.txt,Chapter eleven on the doorstep.,"Chapter 11, On the Doorstep.",0.2,0.194,80.0
0011,0011_000754.txt,Are you a regular darkey really?,Are you a regular Darkie? Really?,0.167,0.062,83.33
0011,0011_000740.txt,In which fox loses a tail and its elder sister finds one.,in which Fox loses a tail and its elder sister finds one.,0.0,0.0,100.0
0011,0011_000998.txt,She came back to the valley.,She came back to the valley!,0.167,0.036,83.33
0011,0011_000768.txt,I do not eat bread.,"Adonado, Brad.",1.0,0.526,0.0
0011,0011_000769.txt,"Not much use is it, sam?","Not much use is it, Sam?",0.0,0.0,100.0
0011,0011_000999.txt,His hope will cheat him.,Here's Hope Wheel Cheatin'!,0.8,0.5,20.0
0011,0011_000741.txt,I chose the right way.,I choose the right way.,0.2,0.045,80.0
0011,0011_000755.txt,A deafening chirruping rent the air.,A definite cheer up rent the air.,0.5,0.278,50.0
0011,0011_000966.txt,We may join with that power.,We may join with that power!,0.167,0.036,83.33
0011,0011_000972.txt,No admittance except on party business.,No admittance except on party business.,0.0,0.0,100.0
0011,0011_000782.txt,A fair jaw cracker dwarf language must be!,A fair jawcracker dwarf language must be...,0.375,0.095,62.5
0011,0011_000796.txt,I don't painted tiger.,I don't paint a tiger.,0.5,0.091,50.0
0011,0011_000812.txt,"Clown, to call him joey.",Clown to call him Joey.,0.2,0.042,80.0
0011,0011_000806.txt,I guess it's a choice feast.,I guess it's a choice feast.,0.0,0.0,100.0
0011,0011_001000.txt,Six was half way down the room.,Six was halfway down the room.,0.286,0.032,71.43
0011,0011_001014.txt,Bob goes to a new school.,Bob goes to a new school.,0.0,0.0,100.0
0011,0011_001028.txt,It would be a hard choice.,It would be a hard choice.,0.0,0.0,100.0
0011,0011_000861.txt,That's a full grown colt.,That's a full grown colt!,0.2,0.04,80.0
0011,0011_000875.txt,All this have we won by our labour.,All this have we won by our labor.,0.125,0.029,87.5
0011,0011_000849.txt,My winding sheet!,My winding sheet!,0.0,0.0,100.0
0011,0011_000915.txt,He likes dragons very much.,He likes dragons very much.,0.0,0.0,100.0
0011,0011_000901.txt,"A lady, is on Alice's lap!",A lady is on Alice's lap.,0.333,0.077,66.67
0011,0011_000929.txt,The first year they sowed rye.,The first year they sold rye.,0.167,0.067,83.33
0011,0011_000732.txt,Who is repeating all that hard stuff to you?,Who is repeating all that hard stuff to you?,0.0,0.0,100.0
0011,0011_000726.txt,Let's make the noise a snake.,Let's make the noise of Snake!,0.333,0.103,66.67
0011,0011_000727.txt,Monster made a deep bow.,Monster made a deep bow.,0.0,0.0,100.0
0011,0011_000733.txt,This used to be Jerry's occupation.,This used to be Jerry's occupation.,0.0,0.0,100.0
0011,0011_000928.txt,It says no way! shouted Daisy.,"It says no way, shouted Daisy.",0.167,0.033,83.33
0011,0011_000900.txt,That cloth does not look like worth much!,That cloth does not look like worth much.,0.125,0.024,87.5
0011,0011_000914.txt,"But what about this thing, sticky!",But what about this thing? Sticky!,0.167,0.029,83.33
0011,0011_000848.txt,"And on the top of them, came Winnie, the cute bear.","And the top of them came Winnie, the cute bear.",0.182,0.078,81.82
0011,0011_000874.txt,I pay half a crown a week extra.,I pay half a crown a week extra.,0.0,0.0,100.0
